1,0.008,0
1,0.0046,0
1,0.0549,0.0053
1,0.1313,0.092
1,0.0587,0.022
1,0.1723,0.1133
1,0.3812,0.288
1,0.172,0
1,0.1182,0.1058
1,0.1383,0.205
1,0.0106,0.01
1,0.2126,0.245
1,0.1435,0.1529
2,0.1218,0.02
2,0.0403,0.0163
2,0.1166,0.156
2,0.2375,0.2885
2,0.1256,0.1483
2,0.14,0.1019
2,0.2439,0.1867
2,0.0072,0.0233
2,0.0707,0.1067
2,0.1036,0.1011
2,0.1632,0.2407
2,0.0788,0.0666
2,0.0365,0.0133
2,0.2409,0.2897
2,0.0408,0.0425
2,0.2204,0.2191
2,0.1847,0.0789
2,0.3332,0.357
2,0.0676,0.076
2,0.1097,0.0913
2,0.0952,0.04
2,0.2095,0.1467
